text,Sentiment
"Hope Hicks, one of the best-known but least visible former members of President Trump’s White House staff, is facing an existential question: whether to comply with a congressional subpoena https://nyti.ms/2I329XZ",neutral
It’s with a heavy heart I am calling for the sake of our Democracy that the 25th Amendment be invoked.  My statement:,neutral
I have visited nations ravaged by civil war. @realDonaldTrump I have never imagined such a quote to be repeated by a President.  This is beyond repugnant.,negative
"....If the Democrats are successful in removing the President from office (which they will never be), it will cause a Civil War like fracture in this Nation from which our Country will never heal.” Pastor Robert Jeffress, @FoxNews",negative
"I haven’t yet said this publically, but I want to now.  On Wednesday I felt literally and real evil as the insurrection went down.  It is not something that happens much, but I’ve never felt it stronger than that day.  Mass deception.",negative
The prosecution is compelling.  Donald Trump incited and directed the insurrection.  He knew what he was doing.  I cannot imagine how any Senator could vote against removal.,negative
"Today, I was asked to serve on the bipartisan January 6th Select Committee and I humbly accepted. When duty calls, I will always answer. https://bit.ly/3zy5TcP",positive
"Mr. President, I see you’ve had a busy morning of “Executive Time.” Instead of tweeting false smears, the American people would appreciate it if you turned off the TV and helped solve the funding crisis, protected Dreamers or...really anything else.",negative
"Little Adam Schiff, who is desperate to run for higher office, is one of the biggest liars and leakers in Washington, right up there with Comey, Warner, Brennan and Clapper! Adam leaves closed committee hearings to illegally leak confidential information. Must be stopped!",negative
"My colleague @IlhanMN fights each day to improve the lives of people throughout America. The comments from Tucker Carlson last night are vile. He spews racist, bigoted, and xenophobic views that make our country worse.",negative
"I misspoke this morning, I do believe we should do everything we can to force the Senate to have a fair trial.  If the Speaker believes that holding on to the articles for a longer time will help force a fair trial in the Senate, then I wholeheartedly support that decision.",neutral
Trump admits he's sabotaging the Postal Service so universal mail voting will be impossible during an election that will be conducted amid a pandemic this November,negative
"From Europe to America, G2 Esports' brash frontman Ocelote is building an empire ⁦@CarlosR⁩ ⁦@G2esports⁩ ⁦@MaCVentureCap⁩ #esports  https://espn.com/esports/story/_/id/28709543/from-europe-america-g2-esports-brash-frontman-ocelote-building-empire…",neutral
VC coast to coast ... @MacConwell @RarebreedVC @RiseOfRest @MaCVentureCap,neutral
"Sorry about the break in.  Re “the policies”, there’s nothing complicated about being tough on crime and a government providing stellar social services to prevent poverty and criminality.  It’s called management.  Talented and capable SF residents need to run for office",neutral
Great poise.  His mom raised him terrific,positive
Two of whom went to @oberlincollege.   Lots of interesting factoids.   Good company to be in ...,positive
Interesting factoid: Ward 4 is the only Ward which has only elected native Washingtonians to its Council ward seat,neutral
"Great meeting w/ @IvankaTrump, @RepKristiNoem, and @RepTomReed this afternoon on ways we can help working families through #TaxReform.",positive
#freeASAP,neutral
"How is it that the top 1% evade $163,000,000,000 in taxes every year, but immigrants are called the freeloaders?",negative
"Welcome, @POTUS, to Greater Cincinnati! We are thrilled our President is choosing to visit Kentucky and Ohio to celebrate the historic $1.6 billion in federal money going towards the Brent Spence Bridge project! This is a long time coming.",positive
"Nice speech, @LindseyGrahamSC! But I seem to recall that you called the GA and AR Secretaries of State to find votes for your golf buddy.",neutral
"Nice speech, @LindseyGrahamSC! But I seem to recall that you called the GA and AR Secretaries of State to find votes for your golf buddy.",neutral
"Thanks to American voters, we are back in the #ParisAgreement. America is once again poised to lead the world on climate action, working with our allies to build a better future for us all. Time to get back to work!",positive
Today’s election results mark a significant turning point for the future of Brazil and demonstrate the power of democracy to advance progress for our planet and its people. (1/2),positive
"Today’s decision is a disappointment, but it's not a surprise. It's the result of coordination by the fossil fuel lobby to dismantle progress toward climate solutions. This ruling does not mean we are out of options! We must call on Congress to pass climate legislation. 1/2",negative
A superb choice by President-elect @JoeBiden of @JohnKerry as Climate Envoy. Kerry’s experience and passion are exactly what we need to restore American leadership abroad and repair the alliances that are crucial to solving the climate crisis.,positive
".@JoeBiden has selected an extraordinary running mate in @kamalaharris! Kamala has made climate and environmental justice a top priority in her career in public service, and I know she will continue to be a strong advocate in the White House. #BidenHarris2020",positive
"Nancy Pelosi has been the greatest, most effective Speaker of the U.S. House of Representatives in American history. Thank you @SpeakerPelosi for your dedicated service and leadership.",positive
The Inflation Reduction Act has the potential to be a historic turning point. It represents the single largest investment in climate solutions & environmental justice in US history. Decades of tireless work by climate advocates across the country led to this moment. 1/3,positive
"In America, no one person or political party can alter the unassailable principle that the rule of law prevails. Every vote must be counted in this election, and the will of the American people will determine the outcome. We must remain calm. Democracy will win the day.",positive
"Senators should reject Mike Pompeo’s nomination to be Secretary of State. He denies the climate crisis, and has been doing the bidding for fossil fuel interests his whole career. The American people deserve better.",negative
"Reminder: Despite President Trump’s best efforts, the U.S. cannot officially withdraw from the #ParisAgreement until one day after the next Presidential election. And then it takes just 30 days for a new President to get us back in. This decision is in the hands of the voters.",neutral
"Today on the floor of the Congress of the United States of America, I will call for the Impeachment of the President between 9am & 10am CST.",neutral
"Within the next 30 minutes, I will announce impeachment plans on the Floor of the House of Representatives. We have a date with destiny. #IndictTrump #ImpeachTrump",neutral
"I will again, this month, bring impeachment to a vote on the Floor of the U.S. House of Representatives for bigotry in policy, harmful to our society. #RacistPresident #ImpeachNow",negative
"The suicide of Mr. Epstein is an impossibilty. When an impossiblty occurs involving powerful people and possible criminality there must be an investigation to end speculation. Because the public has a right to know, I’m calling for a congressional investigation. #JefferyEpstein",negative
".@realDonaldTrump’s racism, anti-Semitism, homophobia, transphobia, xenophobia, and Islamophobia can no longer be tolerated or ignored. We must impeach. #RacistPresident #ImpeachNow",negative
"Mr. President, maliciously attacking a whistleblower and promoting civil unrest to avoid impeachment won't save you. You should have already been impeached for your bigotry, corruption, and disloyalty to our country. #CivilWar2 #ImpeachNow",negative
Trump says I’m a troublemaker & con man. I do make trouble for bigots. If he really thought I was a con man he would want me in his cabinet.,negative
Let us all pray for Rev. and Mrs Jesse Jackson. They need our sincere and intense prayers. Prayer changes things!!!,positive
"This week, in the spirit of unity, I made a moral appeal to the @WhiteHouse to consider the homeless & incarcerated amid #COVID19. To my surprise, @realDonaldTrump called me to discuss it. If Trump can call a critic like Al Sharpton, we can *all* find it in us to come together.",neutral
"This is the way the world ends. This is the way the world ends. Not with a bang, but with a bing bong.",neutral
"I voted for Bernie Sanders today, for the Democratic Presidential nomination -- because the world can be a better place, if we join together and make it that way.  #BernieSanders #Sanders2020 #FeelTheBern2020",positive
I hereby endorse @BernieSanders to be our Democratic nominee for President of the United States. #FeelTheBern,positive
Just going to leave this here...,neutral
It bears repeating again and again... the filibuster isn't a part of the Constitution... but THE RIGHT TO VOTE IS.,neutral
"To my fellow Senators, let's be honest - in order to do much of what we were sent to Washington to do - we HAVE to leverage our power. Mitch McConnell has shown us who he is time and time again, holding out for compromise is a fool's errand. We MUST end the filibuster.",negative
RT if you believe vote by mail should be available to all voters no matter what state they live in.,neutral
Say it with me: End the Filibuster to Save Our Democracy.,neutral
I STRONGLY SUPPORT ELIMINATING THE FILIBUSTER TO SAVE OUR DEMOCRACY. SHARE IF YOU AGREE.,positive
Immigrants make America great.,positive
Again for those in the back: THE FILIBUSTER IS NOWHERE TO BE FOUND IN THE CONSTITUTION AND HAS BECOME AN UNTENABLE STUMBLING BLOCK FOR OUR DEMOCRACY. IT MUST GO.,negative
I will keep saying this until it no longer needs to be said: PRESERVING THE FILIBUSTER IS NOT MORE IMPORTANT THAN PROTECTING OUR DEMOCRACY.,negative
END THE FILIBUSTER. PASS THE FOR THE PEOPLE ACT.,neutral
I'll keep saying it because it's true: PRESERVING THE FILIBUSTER IS NOT MORE IMPORTANT THAN PROTECTING OUR DEMOCRACY.,neutral
Nowhere in America should it be illegal to pass out water to those waiting in line to vote. RT if you agree.,neutral
I will continue to say this loud and clear: the filibuster is fundamentally undemocratic and must be eliminated.,negative
I will continue to stand with President @realDonaldTrump and expose this sham impeachment process.,neutral
Today I was once again denied the opportunity to attend the secret so-called impeachment hearings. I will continue to fight on behalf my constituents and expose this sham process and stand with President Donald Trump.,negative
BREAKING--> My report from inside the SCIF hearing room where we are exposing Adam Schiff's secret so-called impeachment inquiry.,neutral
Decepcionada Wanda Rolón con el Gobernador tras vetar proyecto de libertad religiosa https://notiuno.com/decepcionada-wanda-rolon-con-el-gobernador-tras-vetar-proyecto-de-libertad-religiosa/… #NotiUno630,neutral
Decepcionada Wanda Rolón con el Gobernador tras vetar proyecto de libertad religiosa https://notiuno.com/decepcionada-wanda-rolon-con-el-gobernador-tras-vetar-proyecto-de-libertad-religiosa/… #NotiUno630,neutral
Impeach.,neutral
I’m okay.,neutral
Congratulations to President-elect Joe Biden & Vice President-elect Kamala Harris!,positive
Impeach.,neutral
I’m okay.,neutral
Congratulations to President-elect Joe Biden & Vice President-elect Kamala Harris!,positive
Very proud and emotional moment for me today. The House passed my bill eliminating the slur “alien” in reference to noncitizens throughout Virginia law. To the millions of Americans like my father who’ve been attacked with this term: you’re welcome in Virginia. We stand with you!,positive
President Obama bringing the FIRE tonight in Wisconsin!! Calling folks out by name and telling the truth about Republican plans to roll back Social Security.,neutral
holy shit,neutral
It is of grave concern to me that 4 generations of my family fought to preserve individual constitutional liberties like freedom of speech. Yet technocratic secular fascists decided to end them for some Americans. The ruthless nature of the left is on full display & undebatable.,negative
It is of grave concern to me that 4 generations of my family fought to preserve individual constitutional liberties like freedom of speech. Yet technocratic secular fascists decided to end them for some Americans. The ruthless nature of the left is on full display & undebatable.,negative
Congress has never allowed an impeached president to fill a Supreme Court vacancy. Pass it on.,neutral
I'm proud to cast my vote a sixth time for the Honorable Hakeem Jeffries for Speaker of the House.,positive
"We’re trying, Mr. President. We’re trying.",positive
Are you allowed to impeach a president for gross incompetence?,negative
"Thank you President Trump. @realdonaldtrump “It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our history, has looked to God for protection and strength in times like these...” PRESIDENT DONALD JOHN TRUMP",positive
TRUMP IS STILL NOT RACIST! @realdonaldtrump @blackvoicesfortrump,neutral
"Thank you President Trump. @realdonaldtrump “It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our history, has looked to God for protection and strength in times like these...” PRESIDENT DONALD JOHN TRUMP",positive
hi from 100K in St. Louis for Barack Obama 10/08 ,neutral
you made barack obama produce a birth certificate 48 yrs after the fact,negative
"Requiring an FBI investigation of a 36 year old allegation (without specific references to time or location) before Professor Ford will appear before the Judiciary Committee is not about finding the truth, but delaying the process till after the midterm elections.",negative
"After careful consideration and review of the facts, I have decided to vote yes on both articles of impeachment: abuse of power and obstruction of Congress.",neutral
Get off our lawn.,negative
"Well, that was great.",positive
Police officer Derek Chauvin has been arrested and is in custody for the murder of George Floyd. The first step towards justice.,neutral
"Thanks to all who sent kind words&prayers for my husband John. He has coronavirus & has been in the hospital for pneumonia & low oxygen. He took a good turn, was just released & is now recovering at home! Thanks to those who cared for him &for all front line health care workers.",positive
Get off our lawn.,negative
"Well, that was great.",positive
Police officer Derek Chauvin has been arrested and is in custody for the murder of George Floyd. The first step towards justice.,neutral
"Thanks to all who sent kind words&prayers for my husband John. He has coronavirus & has been in the hospital for pneumonia & low oxygen. He took a good turn, was just released & is now recovering at home! Thanks to those who cared for him &for all front line health care workers.",positive
"I’m running to replace Mitch McConnell in the U.S. Senate. Everything that’s wrong with Washington had to start somewhere—it started with him. With your help, we can defeat Mitch and defend democracy. Join us: http://AmyMcGrath.com",neutral
Mitch McConnell has been in office since I was 9 years old. We need term limits.,negative
"The voters of New York State have spoken and they have elected a clear Democratic majority to the State Senate. While the results of some elections are still being determined, at least 32 Senate Democratic Conference members have already won election tonight.",positive
Wonderful to have Christian Smalls in Albany today. His hard work to build @amazonlabor is a victory for workers everywhere! Let's continue to build on this momentum.,positive
Health care workers wear masks for 5+ hours non-stop. You can wear one for 45 minutes.,neutral
I am replacing my earlier concession with an unapologetic and uncompromised call to count every vote.,neutral
Mayor Gillum conceded on Election Day and now Broward County has put him “back into play.” Bill Nelson conceded Election - now he’s back in play!? This is an embarrassment to our Country and to Democracy!,negative
I am replacing my earlier concession with an unapologetic and uncompromised call to count every vote.,neutral
Mayor Gillum conceded on Election Day and now Broward County has put him “back into play.” Bill Nelson conceded Election - now he’s back in play!? This is an embarrassment to our Country and to Democracy!,negative
President Trump’s remarks telling my colleagues to “go back where they came from” further reveals his narrow-minded ideas about who belongs in this country. They are principled Americans who belong right where they are — in Congress — pushing back against his dangerous agenda.,negative
I stand in solidarity with people in Indiana and around the world rallying today in support of Palestinian rights. I will continue to use my position in Congress and my platform to champion the Palestinian people and work toward a lasting peace. #DayofAction #SaveSheikhJarrah,positive
"More than a year after President Trump negotiated the North America trade deal, it’s good to finally see the unnecessary partisan delay by Speaker Nancy Pelosi to pass the United States-Mexico Canada Agreement (#USMCA) coming to an end.",positive
"Today, I delivered the letter below to @AOC, calling on her to apologize for  her comments to our colleague  @DanCrenshawTX before she plans her trip to Kentucky to learn how the Green New Deal could impact our Commonwealth.",neutral
A beautiful tribute to a beautiful life. Forever in our hearts.,positive
"The Dem Majority Leader just told us to be on call, possibly tonight, within a one hour notice, to vote on a multi-thousand page bill that no one has read, the cost of which has not been scored, and which might be the largest tax increase and spending bill in American history.",neutral
Congressman Andy Barr released the statement below regarding the sudden passing of his wife Carol on Tuesday evening:,neutral
"Thank you, Kentucky!",positive
It's official - thank you Kentucky. @GovMattBevin and his team have already begun a smooth transition. It's time to get to work!,positive
Men cannot get pregnant.,neutral
"No voter ID to get a ballot, and anonymous “ballot harvesting”...why is that hidden in Speaker Pelosi’s coronavirus bill? These are issues that shouldn’t be addressed at this time. #singleissuebills",negative
This bill is unconstitutional.  Americans have a constitutional right to self defense.,negative
When I requested FEMA to stand up a Coronavirus test site in South Jersey they told me the White House said no. Now we know why.,negative
Took a moment in between votes to visit members of the NJ National Guard protecting our Capitol to thank them and make sure they’re caffeinated for the night shift. Can’t thank them enough for their service and keeping us safe.,positive
"I'm proud today to announce that Kathleen Palmer, a senior from Shawnee High School in Medford, is the winner of the Congressional Art Competition from our district. Her artwork, which you can see below, will now be displayed in the U.S. Capitol.",positive
"My wife wasn’t thrilled when I put this Lego Millennium Falcon on our wedding registry. To not seem completely self-indulgent, I told her I’d wait until we had kids to build it. Today, after 10 patient years, the adventure begins. #MayThe4th #MayThe4thBeWithYou",neutral
"My 5 yr old boy came home and asked me why bigger kid kept calling him Chinese Boy. My son, confused, told the boy I’m a New Jersey Boy. He laughed it off but my eyes welled up. 50 yrs ago my parents immigrated here but we cannot shake shadow of foreignness. #StopAsianHate THREAD",neutral
When I requested FEMA to stand up a Coronavirus test site in South Jersey they told me the White House said no. Now we know why.,negative
Took a moment in between votes to visit members of the NJ National Guard protecting our Capitol to thank them and make sure they’re caffeinated for the night shift. Can’t thank them enough for their service and keeping us safe.,positive
"I'm proud today to announce that Kathleen Palmer, a senior from Shawnee High School in Medford, is the winner of the Congressional Art Competition from our district. Her artwork, which you can see below, will now be displayed in the U.S. Capitol.",positive
"My wife wasn’t thrilled when I put this Lego Millennium Falcon on our wedding registry. To not seem completely self-indulgent, I told her I’d wait until we had kids to build it. Today, after 10 patient years, the adventure begins. #MayThe4th #MayThe4thBeWithYou",neutral
"My 5 yr old boy came home and asked me why bigger kid kept calling him Chinese Boy. My son, confused, told the boy I’m a New Jersey Boy. He laughed it off but my eyes welled up. 50 yrs ago my parents immigrated here but we cannot shake shadow of foreignness. #StopAsianHate THREAD",neutral
"A cool moment at today’s inauguration for Governor Wes Moore, the Bowie High School Marching Band was invited to perform during this historic moment for our State. Go Bulldogs! #PrinceGeorgesProud #PGCPSProud",positive
"Congrats to Frances Tiafoe! This Prince George’s County native, who trained at JTCC, just beat the #2 player in the world and made it to the U.S. Open Quarterfinals! #PrinceGeorgesProud",positive
We've been waiting for this moment. ,positive
"A cool moment at today’s inauguration for Governor Wes Moore, the Bowie High School Marching Band was invited to perform during this historic moment for our State. Go Bulldogs! #PrinceGeorgesProud #PGCPSProud",positive
"Congrats to Frances Tiafoe! This Prince George’s County native, who trained at JTCC, just beat the #2 player in the world and made it to the U.S. Open Quarterfinals! #PrinceGeorgesProud",positive
We've been waiting for this moment. ,positive
"Police protect our community which includes protecting those exercising their right to peacefully protest from those infringing on that right by rioting, looting or hurting others. I joined @GregAbbott_TX to propose turning rioting-related offenses into felonies.",neutral
"America is a country of opportunity where anything is possible. Where else could a little girl who was raised in Taiwan after her parents fled communism, grow up to serve in the #TxLege? Thank you Mom & Dad for teaching me the value of freedom. #HD112 #NationalImmigrantsDay",positive
"Police protect our community which includes protecting those exercising their right to peacefully protest from those infringing on that right by rioting, looting or hurting others. I joined @GregAbbott_TX to propose turning rioting-related offenses into felonies.",neutral
"America is a country of opportunity where anything is possible. Where else could a little girl who was raised in Taiwan after her parents fled communism, grow up to serve in the #TxLege? Thank you Mom & Dad for teaching me the value of freedom. #HD112 #NationalImmigrantsDay",positive
"HB1792 passed both chambers & will improve the Texas Rising Star childcare program. Now we’re  for HB1792’s friend, @jamestalarico’s HB2607, to catch up! Quality, affordable childcare is vital to our economic recovery & to the future of our little Texans. #teamwork #IRED",positive
My favorite text of the week so far from a constituent watching the House floor proceedings was from my wife.,positive
Can confirm. And he lost money on both trades. https://twitter.com/aaronhuertas/status/1569742305946394624…,negative
Can confirm. And @amyklobuchar brought beer over on Friday night. Nothing like friends who know you…,positive
"President Biden called Rep. Angie Craig — who was assaulted last week in her DC apartment building — to offer his support for her, according to a person familiar with the matter. Vice President Harris called Craig Thursday afternoon, the source said.",neutral
The President should not serve another day in office. I encourage members of his Cabinet to invoke the 25th Amendment and remove him. We must defend our nation and preserve our democracy.,negative
Marjorie Taylor Greene says that adopted or parents through marriage aren’t real parents because they’re “not biological.” She just told a witness who is a mother through marriage that she is “not a mother.”,negative
My statement on Rep. Gabbard's hateful piece of legislation:,negative
.@AOC is exactly right. It’s an outrage that Minnesotans who care for adult dependents & children older than 16 are getting shortchanged. I led the charge to correct this oversight back in May – but the admin has refused to cooperate. The American people deserve an explanation.,negative
"We were also told the reason adult dependents (ppl w/ disabilities, college students, etc) were left out from survival checks again is bc Trump wants checks ASAP & said including adult dependents would “slow it down,” so he flat out refused - but that excuse doesn’t make sense /1",negative
My favorite text of the week so far from a constituent watching the House floor proceedings was from my wife.,positive
The President should not serve another day in office. I encourage members of his Cabinet to invoke the 25th Amendment and remove him. We must defend our nation and preserve our democracy.,negative
Marjorie Taylor Greene says that adopted or parents through marriage aren’t real parents because they’re “not biological.” She just told a witness who is a mother through marriage that she is “not a mother.”,negative
"I’ve had it with the idea that we’re tired, and we can’t take the time to get this right. There are people across Maine right now working two shifts, and we can’t keep going in order to collect the evidence we need to uphold our oaths? Give me a break.",negative
"I’ve had it with the idea that we’re tired, and we can’t take the time to get this right. There are people across Maine right now working two shifts, and we can’t keep going in order to collect the evidence we need to uphold our oaths? Give me a break.",negative
We're ready at #SOTU to send a powerful message to @realDonaldTrump that we're here to put the American people first and fight to support hardworking families across the country!,positive
Denouncing politics of hate & division! #WomensMarch,negative
"I’m not the “birthing person” of five boys, I’m their mother. With all the sacrifice, joy, commitment, hardship, and love that comes with that. The Biden Administration diminishing motherhood to “birthing person” is simply insulting to all moms.",neutral
"On Thanksgiving, you can never have too many cooks in the kitchen!",positive
"As a cosponsor of the resolution to censure Rep. Adam Schiff, I was disappointed Nancy Pelosi did not even allow a vote on the House floor tonight.  We need transparency and accountability, not closed door secret meetings.  What are they afraid of the American people seeing?",negative
I fully support the Speaker’s announcement of a new impeachment inquiry. The circumstances surrounding the President’s phone call with a foreign leader requires it and we are obligated to go wherever the facts lead.,neutral
The times have found us. The actions taken to date by the President have seriously violated the Constitution. It is for this reason that the House of Representatives is moving forward with an official impeachment inquiry.,negative
My staff and I are safe. Praying for an end to this violence.,positive
"I was just notified by Mercury it ended its relationship with Turkey.  A big shout out to the activists, pol leaders and orgs that asked and to Mercury’s CA team for responding & doing right thing. #ArtsakhStrong @electelen @ANCA_WR @ARAMAC_CA @ArtsakhPress @ArdyKassakhian",positive
Standing in solidarity w/ the good people of #ArtsakhRepublic calling for international community to condemn unprovoked aggression and demand peace. ⁦@ANCA_WR⁩ ⁦@ArmenianWeekly⁩ ⁦@ArmeniaFund⁩ ⁦@ARAMAC_DC⁩ ⁦⁦@ZankuArmenian⁩ ⁦@ArtsakhPress⁩,neutral
The worst one term president in American history.,negative
According to my calculations @kanyewest’s presidential aspirations lasted one full Scaramucci,neutral
They are planning another attack. The President and his conspiracists need to be arrested.,negative
One Scaramucci left for Trump.,neutral
"Trump asked the black community “what do you have to lose?” in voting for him. Turns out, your life.",neutral
Donald Trump is going to jail.,negative
"Trump campaign said 1 million tickets requested. 20,000 seat arena is maybe half full. Outdoor event cancelled. Sad when the farewell tour doesn’t sell out.",negative
He is telling people to get tough from his “bunker.” Coward in Chief,negative
Liz Truss lasted 4.1 Scaramuccis,neutral
The arena isn’t filled. He is a wreck. He should drop out.,negative
We are two (2) full Scaramucci’s out from having a new President-elect.,neutral
"We live in a country where a 79-year-old scientist and doctor who has dedicated 36 years of his life to understanding and stopping infectious disease, now needs armed federal security because his life is threatened for telling the truth about a pandemic. Vote him out!",negative
Never forget how dangerous and abnormal this all was.,negative
"Pervert alert. @jaredlholt is back on twitter. All girls under the age of 18, block him immediately.",negative
"RIP Jeffrey, gone too soon",negative
Im back,neutral
"Don't look at me, I'm locked up",negative
@HillaryClinton what's the bleachbit password again?,neutral
i didnt do it,negative
"So, to sum up the Supreme Court’s week: life begins at conception and ends in a mass shooting.",negative
This is why social distancing is so important right now. Share with your loved ones.,positive
Does it bother anyone that our President violently raped a 13 year old?,negative
My simple dream for America: it is harder to buy a gun than it is to vote.,neutral
"On behalf of the Latvian Government, I congratulate the #US President-Elect @JoeBiden and Vice President @KamalaHarris ! We are looking forward to work together with our close friend and ally to strenghten  the transatlantic bond and  bilateral relations!",positive
"The Russian military aggression against Ukraine’s sovereignty, people and democracy is totally unacceptable. It is Putin’s responsibility to end it immediately. Latvia is closely working with the EU and NATO partners. We call for NATO Art4 consultations.",negative
I have spoken with Col. Bill Bryant of the Arkansas State Police and the local arrest incident in Crawford County will be investigated pursuant to the video evidence and the request of the prosecuting attorney.,neutral
"Trump is correct on Biden’s failures, but his self-indulging message promoting anger has not changed. It didn’t work in 2022 and won’t work in 2024. There are better choices.",negative
"President Biden’s visit to the heart of Ukraine is a good moment for America as we show bipartisan support for those in Ukraine fighting for freedom, democracy & their very lives. The GOP must not waver in our support for those standing against oppression.",positive
The search at Mar-a Lago of a former President is unprecedented & alarming.   We must see the probable cause affidavit before making a judgment. Normally that would be under seal but since Trump announced  the raid then the probable cause should be made public.,neutral
"In a mostly Latino caucus site with 185 voters, @berniesanders wins 94% of the vote! Here’s the Sanders precinct captain going through the process of selecting the 9 delegates for the campaign they have earned with the big win. ¡Sí se puede! #NotMeUs #UnidosConBernie",positive
"In the 1960s, the UC system had no tuition, only a $84 annual fee for one of the finest educations in the world. Many benefited from it & it helped make California a major economic force. That’s what a free public education does. It is an investment in our students & our economy.",positive
It was great to be with @DonaldJTrumpJr in Cedar Rapids tonight. It’s critical we re-elect @realdonaldtrump and flip #IA01 red. Help us win: https://secure.winred.com/ashleyhinson/donate…,positive
It was great to be with @DonaldJTrumpJr in Cedar Rapids tonight. It’s critical we re-elect @realdonaldtrump and flip #IA01 red. Help us win: https://secure.winred.com/ashleyhinson/donate…,positive
In case you thought it was just Confederate statues they're after: http://campusreform.org/?ID=9285 via @campusreform,neutral
#farright,neutral
Canadians are shocked by the news of the horrific attack in Manchester tonight. Please keep the victims & their families in your thoughts.,negative
"Guilty until proven innocent. That, my friends, is the way they do it in China, Venezuela, Cuba, and against @realDonaldTrump in the U.S. House of Representatives under @SpeakerPelosi.",negative
"Unless @SpeakerPelosi & @SenSchumer deny Congress a chance to vote on @POTUS proposal it will pass. The Schumer/Pelosi games are hurting fed workers, allowing criminal activity along our border & holding up disaster assistance. They say they want to open the gov, then let’s vote.",negative
How did Afghanistan’s fall happen in mere hours? Congress needs to know the facts. @SpeakerPelosi must call Congress back now. Tough questions need to be asked & answered. Anything else is nothing other than partisan protection of Biden regardless of the consequences to America.,negative
Student debt cancellation is a racial justice issue.,negative
Public transit should be free.,neutral
"Move, Mitch, get out the way.",neutral
"Let me drop an alopecia selfie flex. Ya'll stay mad on my timeline. I get it. Who needs hair with these cheekbones? Folks want to know which bathroom I use. Obviously, the one where royalty enters. S/O to my Alopecia Squad, 7million strong. #alopeciaawarenessmonth",neutral
Student debt cancellation is a racial justice issue.,negative
Public transit should be free.,neutral
"Move, Mitch, get out the way.",neutral
Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.,neutral
Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.,neutral
"Congratulations to my friend, President @JoeBiden! This is your time.",positive
"In every scene, you are my star, @MichelleObama! Happy birthday, baby!",positive
Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.,neutral
Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.,neutral
Reminder: a COVID relief bill has been sitting on Mitch McConnell’s desk for 50 days while millions struggle to keep food on the table.,negative
First day of a new era. ,positive
Health insurance shouldn’t be tied to employment. Period.,negative
"Senator Graham, you should be ashamed. Your state had 164 recorded lynchings, and your words disrespect and belittle African Americans and lynching victims. This is absolutely unacceptable and disgraceful!",negative
"OMG, here we go again. My sisters in Congress are Americans. The voices of women of color have been ignored for far too long — but not anymore. This disgusting and racist attack won’t stop us.",negative
